model,scenario,assumption,actual_unresolved_rows_in_model_subset,interval_interpretation,n,rmse_kN,mae_kN,nrmse_by_development_sd,signed_mean_error_kN,prediction_to_measurement_mean,prediction_to_measurement_q05,prediction_to_measurement_q25,prediction_to_measurement_median,prediction_to_measurement_q75,prediction_to_measurement_q95,measurement_to_prediction_mean,overprediction_rate,overprediction_gt_20pct_rate,overprediction_gt_50pct_rate,status,n_source_clusters,resamples,nrmse_composition_q025,nrmse_composition_q975,prediction_to_measurement_mean_q025,prediction_to_measurement_mean_q975,overprediction_rate_q025,overprediction_rate_q975
Ridge,conservative_one_cluster,all unresolved rows retained as one dependent source cluster,12,source-composition sensitivity; not a population confidence interval,413,56.99011950256623,52.91170491013136,1.0199447775924826,52.76101595746237,1.7899432123271888,1.1840652998573495,1.4505641762141406,1.6970726651000156,2.0342303372945127,2.7189693950291844,0.597552947572787,0.9903147699757868,0.9443099273607748,0.6755447941888619,source_composition_resampling_interval,22,10000,0.8912730105522367,1.1732801677314515,1.6555048944929454,1.9347774351163625,0.967739761759847,1.0
Ridge,exclude_unresolved_rows,all unresolved-source rows removed as a sensitivity only,12,source-composition sensitivity; not a population confidence interval,401,56.60226461872792,52.62720082700055,1.013003389037984,52.4720024792392,1.780168308424549,1.1917639912825326,1.4505641762141406,1.6804318274296872,2.0186131110506764,2.6294150783164545,0.5994273364336897,0.9900249376558604,0.9476309226932668,0.6733167082294265,source_composition_resampling_interval,21,10000,0.8801569552482974,1.1747921479272276,1.640343184402477,1.9307017063868648,0.9658119658119658,1.0
Ridge,singleton_independence_upper_bound,unresolved rows treated as mutually independent clusters; implausible upper bound,12,source-composition sensitivity; not a population confidence interval,413,56.99011950256623,52.91170491013136,1.0199447775924826,52.76101595746237,1.7899432123271888,1.1840652998573495,1.4505641762141406,1.6970726651000156,2.0342303372945127,2.7189693950291844,0.597552947572787,0.9903147699757868,0.9443099273607748,0.6755447941888619,source_composition_resampling_interval,33,10000,0.8908175955583766,1.1745563510857844,1.6555127724771532,1.9363148234201368,0.9665271966527196,1.0
RBF_SVR,conservative_one_cluster,all unresolved rows retained as one dependent source cluster,12,source-composition sensitivity; not a population confidence interval,413,60.828631049228974,56.99808806942739,1.088642120920054,56.85289783660343,1.848200699514411,1.1831219683661554,1.510478026367737,1.7516974132102177,2.1131333258222327,2.766265172205496,0.5796592082661296,0.9927360774818402,0.9394673123486684,0.7554479418886199,source_composition_resampling_interval,22,10000,0.9556084574140506,1.2051633014719323,1.68957587615865,1.982302188786047,0.9800662085545806,1.0
RBF_SVR,exclude_unresolved_rows,all unresolved-source rows removed as a sensitivity only,12,source-composition sensitivity; not a population confidence interval,401,60.49864208723709,56.76964949743142,1.0827363512641115,56.620114419734925,1.8390298871846549,1.1857577879340453,1.510478026367737,1.7426448098854306,2.098517341798208,2.7158817134142,0.5812356305745304,0.9925187032418952,0.942643391521197,0.7556109725685786,source_composition_resampling_interval,21,10000,0.941331707630979,1.204549684903407,1.6738163198677078,1.975778976655993,0.9792135777521168,1.0
RBF_SVR,singleton_independence_upper_bound,unresolved rows treated as mutually independent clusters; implausible upper bound,12,source-composition sensitivity; not a population confidence interval,413,60.828631049228974,56.99808806942739,1.088642120920054,56.85289783660343,1.848200699514411,1.1831219683661554,1.510478026367737,1.7516974132102177,2.1131333258222327,2.766265172205496,0.5796592082661296,0.9927360774818402,0.9394673123486684,0.7554479418886199,source_composition_resampling_interval,33,10000,0.9528312998157192,1.2074733438282663,1.6890949523543697,1.9839744656013176,0.9799314269039976,1.0
ExtraTrees,conservative_one_cluster,all unresolved rows retained as one dependent source cluster,12,source-composition sensitivity; not a population confidence interval,413,58.5175270420278,54.05857674129687,1.0472805922341604,53.913626574490245,1.7990873966362897,1.168500210101126,1.4688327118889304,1.6709416349596482,2.060127742127136,2.7332049752623764,0.5945146035941031,0.9903147699757868,0.9443099273607748,0.6900726392251816,source_composition_resampling_interval,22,10000,0.906267802781068,1.2238895767258846,1.668641081968968,1.962386312858169,0.9672131147540984,1.0
ExtraTrees,exclude_unresolved_rows,all unresolved-source rows removed as a sensitivity only,12,source-composition sensitivity; not a population confidence interval,401,57.96549157089909,53.65861033941089,1.0374008850017833,53.5093225117522,1.7868136318555965,1.1916501495704557,1.4688327118889304,1.668432713585835,2.046610144838408,2.6481663783377947,0.5967286724098617,0.9900249376558604,0.9476309226932668,0.6882793017456359,source_composition_resampling_interval,21,10000,0.8911493697369385,1.2119144639528023,1.6529441038512158,1.945897863336448,0.9658830390173674,1.0
ExtraTrees,singleton_independence_upper_bound,unresolved rows treated as mutually independent clusters; implausible upper bound,12,source-composition sensitivity; not a population confidence interval,413,58.5175270420278,54.05857674129687,1.0472805922341604,53.913626574490245,1.7990873966362897,1.168500210101126,1.4688327118889304,1.6709416349596482,2.060127742127136,2.7332049752623764,0.5945146035941031,0.9903147699757868,0.9443099273607748,0.6900726392251816,source_composition_resampling_interval,33,10000,0.9063433793632264,1.2260163334358574,1.667985347041856,1.9654985260588709,0.967479674796748,1.0
HistGradientBoosting,conservative_one_cluster,all unresolved rows retained as one dependent source cluster,12,source-composition sensitivity; not a population confidence interval,413,52.85563724968576,46.49917284751783,0.945950484920674,45.8113267222309,1.678880655953293,1.033250659792494,1.3484078338316177,1.5679732928428318,1.909559075265784,2.5840278489935096,0.6436318023528786,0.9661016949152542,0.8716707021791767,0.5980629539951574,source_composition_resampling_interval,22,10000,0.7568842393299974,1.1691754888118966,1.5399403586148468,1.879199959468405,0.9290776084522128,0.9945209222247174
HistGradientBoosting,exclude_unresolved_rows,all unresolved-source rows removed as a sensitivity only,12,source-composition sensitivity; not a population confidence interval,401,52.28485951692864,45.940657733743045,0.935735349862649,45.2322276845074,1.6655159947173512,1.0313817962896552,1.3479606534381146,1.5629393983837323,1.8908109395157136,2.526244567049312,0.6474398711612632,0.9650872817955112,0.8678304239401496,0.5935162094763092,source_composition_resampling_interval,21,10000,0.7433425124793461,1.1595674089729089,1.5260701883591763,1.862592792986568,0.9259981481481482,0.9941690962099126
HistGradientBoosting,singleton_independence_upper_bound,unresolved rows treated as mutually independent clusters; implausible upper bound,12,source-composition sensitivity; not a population confidence interval,413,52.85563724968576,46.49917284751783,0.945950484920674,45.8113267222309,1.678880655953293,1.033250659792494,1.3484078338316177,1.5679732928428318,1.909559075265784,2.5840278489935096,0.6436318023528786,0.9661016949152542,0.8716707021791767,0.5980629539951574,source_composition_resampling_interval,33,10000,0.764006625486294,1.1641262249187856,1.546168313974677,1.876224666147701,0.9296475043840906,0.9946815546549588
