method,model,cv_rmse_kN,cv_mae_kN,cv_nrmse,cv_nmae,n_folds,parent,n_external,n_source_clusters,external_rmse_kN,external_mae_kN,external_nrmse,external_nmae,signed_mean_error_kN,median_absolute_error_kN,signed_risk_estimation_error,absolute_risk_estimation_error
GroupKFold_Source,Ridge,27.29779209797852,22.882201924136115,0.4885450448807151,0.4095198002048121,5,rac27,27,1,23.445705694465087,20.65108897161589,0.4196047541006331,0.3695898610503684,3.2459205900109858,20.856042208080524,0.068940290780082,0.068940290780082
GroupKFold_Source,RBF_SVR,34.30504536623175,26.74554197817809,0.6139529478401203,0.4786614961088984,5,rac27,27,1,63.44905477040372,58.37613720816048,1.135539504410736,1.0447501567145234,58.37613720816048,49.38385600947694,-0.5215865565706156,0.5215865565706156
GroupKFold_Source,ExtraTrees,25.641398257556503,20.95428336246745,0.4589007791391997,0.3750160917416456,5,rac27,27,1,33.25857080840908,31.675803957520426,0.5952243283978226,0.566897755339177,31.675803957520426,31.723633147097104,-0.1363235492586229,0.1363235492586229
GroupKFold_Source,HistGradientBoosting,26.850950868893023,22.482561587078266,0.4805479853553663,0.4023674889225187,5,rac27,27,1,42.65183284914707,38.695445915863736,0.7633343209128761,0.6925273770784144,38.695445915863736,38.363037589785165,-0.2827863355575098,0.2827863355575098
ClaimCut_C_source,Ridge,29.018355024860718,25.0284971817632,0.5193377364404109,0.4479317680739035,5,rac27,27,1,23.445705694465087,20.65108897161589,0.4196047541006331,0.3695898610503684,3.2459205900109858,20.856042208080524,0.0997329823397778,0.0997329823397778
ClaimCut_C_source,RBF_SVR,34.22911453798458,28.018416346805925,0.6125940236545782,0.501441963603002,5,rac27,27,1,63.44905477040372,58.37613720816048,1.135539504410736,1.0447501567145234,58.37613720816048,49.38385600947694,-0.5229454807561578,0.5229454807561578
ClaimCut_C_source,ExtraTrees,24.52896057586803,19.58020287557233,0.4389916262239446,0.3504243514745049,5,rac27,27,1,33.25857080840908,31.675803957520426,0.5952243283978226,0.566897755339177,31.675803957520426,31.723633147097104,-0.1562327021738779,0.1562327021738779
ClaimCut_C_source,HistGradientBoosting,26.70632299983918,21.954204093484567,0.4779595991399425,0.3929115433832488,5,rac27,27,1,42.65183284914707,38.695445915863736,0.7633343209128761,0.6925273770784144,38.695445915863736,38.363037589785165,-0.2853747217729336,0.2853747217729336
RandomKFold,Ridge,22.373684582352844,18.429395443748472,0.4004189312893906,0.3298285001173148,5,rac27,27,1,23.445705694465087,20.65108897161589,0.4196047541006331,0.3695898610503684,3.2459205900109858,20.856042208080524,-0.0191858228112424,0.0191858228112424
RandomKFold,RBF_SVR,25.23491303189785,18.77754314604849,0.4516259657733429,0.3360592543935142,5,rac27,27,1,63.44905477040372,58.37613720816048,1.135539504410736,1.0447501567145234,58.37613720816048,49.38385600947694,-0.683913538637393,0.683913538637393
RandomKFold,ExtraTrees,17.756305971621643,12.879209637527694,0.3177823051287725,0.2304975445563618,5,rac27,27,1,33.25857080840908,31.675803957520426,0.5952243283978226,0.566897755339177,31.675803957520426,31.723633147097104,-0.2774420232690501,0.2774420232690501
RandomKFold,HistGradientBoosting,16.415418126785607,12.303221445782736,0.2937846092717534,0.2201891585895846,5,rac27,27,1,42.65183284914707,38.695445915863736,0.7633343209128761,0.6925273770784144,38.695445915863736,38.363037589785165,-0.4695497116411227,0.4695497116411227
DataSAIL_C1e_Scalar_C_deck,Ridge,27.92906333736981,24.23052951353659,0.4998428243814667,0.4336506442054279,5,rac27,27,1,23.445705694465087,20.65108897161589,0.4196047541006331,0.3695898610503684,3.2459205900109858,20.856042208080524,0.0802380702808336,0.0802380702808336
DataSAIL_C1e_Scalar_C_deck,RBF_SVR,33.17264923842761,26.33291519974569,0.5936866012031778,0.4712767681695582,5,rac27,27,1,63.44905477040372,58.37613720816048,1.135539504410736,1.0447501567145234,58.37613720816048,49.38385600947694,-0.5418529032075581,0.5418529032075581
DataSAIL_C1e_Scalar_C_deck,ExtraTrees,25.1013135373296,20.381689768128147,0.4492349529457992,0.3647684584443864,5,rac27,27,1,33.25857080840908,31.675803957520426,0.5952243283978226,0.566897755339177,31.675803957520426,31.723633147097104,-0.1459893754520233,0.1459893754520233
DataSAIL_C1e_Scalar_C_deck,HistGradientBoosting,25.95803716987401,21.40150704988987,0.4645676246875102,0.3830199960742485,5,rac27,27,1,42.65183284914707,38.695445915863736,0.7633343209128761,0.6925273770784144,38.695445915863736,38.363037589785165,-0.2987666962253659,0.2987666962253659
