module,descriptor,model,n_pairs,scale_mean_abs_y,random_nmae,grouped_nmae,delta_nmae_grouped_minus_random,random_overprediction_rate,grouped_overprediction_rate,delta_overprediction_rate_grouped_minus_random,random_p90_abs_error_norm,grouped_p90_abs_error_norm,random_mean_positive_error_norm,grouped_mean_positive_error_norm
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,1030,35.817836,0.231839,0.231965,0.000126,0.472816,0.472816,0.000000,0.489937,0.492889,0.116433,0.116675
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Random Forest,1030,35.817836,0.098239,0.121027,0.022788,0.503883,0.491262,-0.012621,0.219781,0.280313,0.048629,0.052892
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Gradient Boosting,1030,35.817836,0.103639,0.123392,0.019753,0.515534,0.519417,0.003883,0.225436,0.260199,0.051421,0.061440
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Ridge,488,148.364144,0.533147,0.637899,0.104752,0.645492,0.641393,-0.004098,1.088379,1.397205,0.267245,0.331930
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Random Forest,488,148.364144,0.327799,0.716631,0.388832,0.659836,0.665984,0.006148,0.778656,1.563700,0.173286,0.424549
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Gradient Boosting,488,148.364144,0.350107,0.649606,0.299499,0.620902,0.616803,-0.004098,0.743982,1.517167,0.172970,0.346940
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Ridge,1316,1.156977,0.067884,0.125548,0.057664,0.523556,0.462766,-0.060790,0.137694,0.250106,0.033959,0.062917
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Random Forest,1316,1.156977,0.039669,0.158328,0.118659,0.508359,0.401216,-0.107143,0.086761,0.279444,0.020451,0.057976
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Gradient Boosting,1316,1.156977,0.048211,0.157877,0.109666,0.518237,0.412614,-0.105623,0.101728,0.284657,0.024133,0.061258
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Ridge,804,2.606567,0.063574,0.160549,0.096975,0.453980,0.606965,0.152985,0.128581,0.308049,0.032041,0.103649
