task,target,model,split,n_samples,n_groups,median_group_size,max_group_size,pooled_r2,mae,fold_mean_pooled_r2,fold_sd_pooled_r2,fold_mean_mae,fold_sd_mae,gap_vs_random
PRJ-3053 coupling beam peak shear,V_m_avg_kips,Ridge,RandomKFold,60,21,2.0,9,0.5751947821050107,35.62913173856059,0.5393097754746187,0.30936122072445565,35.62913173856058,12.666215348858278,0.0
PRJ-3053 coupling beam peak shear,V_m_avg_kips,Ridge,GroupKFold,60,21,2.0,9,0.5735305947339349,34.76035207181168,0.5174521774667278,0.33810418945143617,34.76035207181168,6.668009763888283,0.0016641873710758759
PRJ-3053 coupling beam peak shear,V_m_avg_kips,Ridge,LeaveOneSourceOut,60,21,2.0,9,0.5495975173037598,36.64915434399763,-434.49963883868145,1185.3434425848193,42.49573696504263,38.86121490075816,0.025597264801250907
PRJ-3053 coupling beam peak shear,V_m_avg_kips,Random Forest,RandomKFold,60,21,2.0,9,0.5940870132443243,38.52035741352013,0.5361985337059378,0.2508183630826979,38.52035741352013,10.541379581614267,0.0
PRJ-3053 coupling beam peak shear,V_m_avg_kips,Random Forest,GroupKFold,60,21,2.0,9,0.6628409555213535,37.42532152968172,0.6527292009869896,0.10220465220878464,37.42532152968173,11.352210397203214,-0.06875394227702913
PRJ-3053 coupling beam peak shear,V_m_avg_kips,Random Forest,LeaveOneSourceOut,60,21,2.0,9,0.6560030971559174,36.659656490099415,-716.8235261359224,2530.113920397345,35.19328414566243,15.767549548736774,-0.06191608391159309
PRJ-3053 coupling beam peak shear,V_m_avg_kips,Gradient Boosting,RandomKFold,60,21,2.0,9,0.5956712336142769,35.81975141784813,0.5471753880826633,0.3409016153994809,35.81975141784814,13.434668594315372,0.0
PRJ-3053 coupling beam peak shear,V_m_avg_kips,Gradient Boosting,GroupKFold,60,21,2.0,9,0.5894727206593267,41.80504925902184,0.5422992040912928,0.11216225708947368,41.80504925902184,6.7701668745869545,0.006198512954950219
PRJ-3053 coupling beam peak shear,V_m_avg_kips,Gradient Boosting,LeaveOneSourceOut,60,21,2.0,9,0.6397196710144786,38.56573774998471,-375.87154581196575,1262.3066844365187,34.39702527926093,16.588812588449795,-0.0440484374002017
PRJ-3053 coupling beam normalized shear,v_m_normalized,Ridge,RandomKFold,60,21,2.0,9,0.7155604031619939,1.7303070653072588,0.6319658896276881,0.165645030715561,1.7303070653072588,0.48636362164219316,0.0
