group,n,case
Ang_Beng_Ghee,23,DesignSafe circular RC columns
Arakawa,23,DesignSafe circular RC columns
Kunnath,11,DesignSafe circular RC columns
Saatcioglu et al.,8,DesignSafe circular RC columns
Roeder,8,DesignSafe circular RC columns
Hamilton,6,DesignSafe circular RC columns
Stone,6,DesignSafe circular RC columns
Potangaroa,5,DesignSafe circular RC columns
Lehman et al,5,DesignSafe circular RC columns
Petrovski,4,DesignSafe circular RC columns
Ranf,4,DesignSafe circular RC columns
Nelson et al.,4,DesignSafe circular RC columns
Kowalsky_Moyer,4,DesignSafe circular RC columns
McDaniel,3,DesignSafe circular RC columns
Kenchiku_Kenkyu_Siryo,3,DesignSafe circular RC columns
Vu,3,DesignSafe circular RC columns
Chai,3,DesignSafe circular RC columns
Davey,3,DesignSafe circular RC columns
Lim,3,DesignSafe circular RC columns
Kenchiku Siryo,3,DesignSafe circular RC columns
Vu et al.,3,DesignSafe circular RC columns
Kowalsky ,3,DesignSafe circular RC columns
Calderone et al.,3,DesignSafe circular RC columns
Sritharan et al.,3,DesignSafe circular RC columns
Omar,2,DesignSafe circular RC columns
Priestley,2,DesignSafe circular RC columns
Ng,2,DesignSafe circular RC columns
Ang,2,DesignSafe circular RC columns
Zahn et al.,2,DesignSafe circular RC columns
Watson_Park,2,DesignSafe circular RC columns
Wong et al.,2,DesignSafe circular RC columns
Cheok et al.,2,DesignSafe circular RC columns
Henry,2,DesignSafe circular RC columns
Hussein,1,DesignSafe circular RC columns
Xiao,1,DesignSafe circular RC columns
Yalcin,1,DesignSafe circular RC columns
Yarandi,1,DesignSafe circular RC columns
Wong,1,DesignSafe circular RC columns
Iwasaki,1,DesignSafe circular RC columns
Munro ,1,DesignSafe circular RC columns
Ang et al.,1,DesignSafe circular RC columns
Hose et al.,1,DesignSafe circular RC columns
Coffman,1,DesignSafe circular RC columns
Galeota et al. ,24,DesignSafe rectangular RC columns
Wight,16,DesignSafe rectangular RC columns
Pujol,14,DesignSafe rectangular RC columns
Matamoros et al.,12,DesignSafe rectangular RC columns
Yoshimura,11,DesignSafe rectangular RC columns
Thomsen and Wallace,11,DesignSafe rectangular RC columns
Iwasaki,10,DesignSafe rectangular RC columns
Ousalem,10,DesignSafe rectangular RC columns
Atalay and Penzein,10,DesignSafe rectangular RC columns
Saatcioglu and Giria,10,DesignSafe rectangular RC columns
Zhou,9,DesignSafe rectangular RC columns
Mo and Wang,9,DesignSafe rectangular RC columns
Lynn,8,DesignSafe rectangular RC columns
Umemura & Endo ,8,DesignSafe rectangular RC columns
Tanaka and Park,8,DesignSafe rectangular RC columns
Mugurma et al.,8,DesignSafe rectangular RC columns
Bayrak and Sheikh,8,DesignSafe rectangular RC columns
Ikeda,7,DesignSafe rectangular RC columns
Sakai et al.,7,DesignSafe rectangular RC columns
Kanda et al.,6,DesignSafe rectangular RC columns
Paultre & Legeron,6,DesignSafe rectangular RC columns
Paultre et al.,6,DesignSafe rectangular RC columns
Takemura and Kawashima,6,DesignSafe rectangular RC columns
Melek,6,DesignSafe rectangular RC columns
Watson and Park,5,DesignSafe rectangular RC columns
Saatcioglu and Ozcebe,5,DesignSafe rectangular RC columns
Sugano,5,DesignSafe rectangular RC columns
Kono et al.,5,DesignSafe rectangular RC columns
Pandey,4,DesignSafe rectangular RC columns
Esaki,4,DesignSafe rectangular RC columns
Gill et al.,4,DesignSafe rectangular RC columns
Soesianawati et al.,4,DesignSafe rectangular RC columns
Wehbe et al.,4,DesignSafe rectangular RC columns
Xiao and Martirossyan,4,DesignSafe rectangular RC columns
Arakawa,3,DesignSafe rectangular RC columns
Nakamura et al.,3,DesignSafe rectangular RC columns
Sezen ,3,DesignSafe rectangular RC columns
Ohno and Nishioka,3,DesignSafe rectangular RC columns
Aboutaha and Machado,3,DesignSafe rectangular RC columns
Nagasaka,2,DesignSafe rectangular RC columns
Umehara,2,DesignSafe rectangular RC columns
Aboutaha,2,DesignSafe rectangular RC columns
Verma,2,DesignSafe rectangular RC columns
Ohue,2,DesignSafe rectangular RC columns
Ono,2,DesignSafe rectangular RC columns
Xiao,2,DesignSafe rectangular RC columns
Kokusho,2,DesignSafe rectangular RC columns
Kokusho & Fukuhara,2,DesignSafe rectangular RC columns
Elwood,2,DesignSafe rectangular RC columns
Yarandi,2,DesignSafe rectangular RC columns
Ang et al.,2,DesignSafe rectangular RC columns
Zahn ,2,DesignSafe rectangular RC columns
Imai,1,DesignSafe rectangular RC columns
Bett,1,DesignSafe rectangular RC columns
Amitsu,1,DesignSafe rectangular RC columns
Yalcin,1,DesignSafe rectangular RC columns
Saatcioglu,1,DesignSafe rectangular RC columns
Park and Paulay,1,DesignSafe rectangular RC columns
Azizinamini et al.,1,DesignSafe rectangular RC columns
Azizinamini et al. ,1,DesignSafe rectangular RC columns
Nosho et al,1,DesignSafe rectangular RC columns
Harries,1,DesignSafe rectangular RC columns
Arakawa,26,DesignSafe RC columns combined
Galeota et al. ,24,DesignSafe RC columns combined
Ang_Beng_Ghee,23,DesignSafe RC columns combined
Wight,16,DesignSafe RC columns combined
Pujol,14,DesignSafe RC columns combined
Matamoros et al.,12,DesignSafe RC columns combined
Iwasaki,11,DesignSafe RC columns combined
Kunnath,11,DesignSafe RC columns combined
Yoshimura,11,DesignSafe RC columns combined
Thomsen and Wallace,11,DesignSafe RC columns combined
Ousalem,10,DesignSafe RC columns combined
Atalay and Penzein,10,DesignSafe RC columns combined
Saatcioglu and Giria,10,DesignSafe RC columns combined
Zhou,9,DesignSafe RC columns combined
Mo and Wang,9,DesignSafe RC columns combined
Saatcioglu et al.,8,DesignSafe RC columns combined
Roeder,8,DesignSafe RC columns combined
Lynn,8,DesignSafe RC columns combined
Umemura & Endo ,8,DesignSafe RC columns combined
Tanaka and Park,8,DesignSafe RC columns combined
Mugurma et al.,8,DesignSafe RC columns combined
Bayrak and Sheikh,8,DesignSafe RC columns combined
Ikeda,7,DesignSafe RC columns combined
Sakai et al.,7,DesignSafe RC columns combined
Hamilton,6,DesignSafe RC columns combined
Stone,6,DesignSafe RC columns combined
Kanda et al.,6,DesignSafe RC columns combined
Paultre & Legeron,6,DesignSafe RC columns combined
Paultre et al.,6,DesignSafe RC columns combined
Takemura and Kawashima,6,DesignSafe RC columns combined
Melek,6,DesignSafe RC columns combined
Potangaroa,5,DesignSafe RC columns combined
Lehman et al,5,DesignSafe RC columns combined
Watson and Park,5,DesignSafe RC columns combined
Saatcioglu and Ozcebe,5,DesignSafe RC columns combined
Sugano,5,DesignSafe RC columns combined
Kono et al.,5,DesignSafe RC columns combined
Petrovski,4,DesignSafe RC columns combined
Ranf,4,DesignSafe RC columns combined
Nelson et al.,4,DesignSafe RC columns combined
Kowalsky_Moyer,4,DesignSafe RC columns combined
Pandey,4,DesignSafe RC columns combined
Esaki,4,DesignSafe RC columns combined
Gill et al.,4,DesignSafe RC columns combined
Soesianawati et al.,4,DesignSafe RC columns combined
Wehbe et al.,4,DesignSafe RC columns combined
Xiao and Martirossyan,4,DesignSafe RC columns combined
McDaniel,3,DesignSafe RC columns combined
Xiao,3,DesignSafe RC columns combined
Yarandi,3,DesignSafe RC columns combined
Kenchiku_Kenkyu_Siryo,3,DesignSafe RC columns combined
Vu,3,DesignSafe RC columns combined
Chai,3,DesignSafe RC columns combined
Davey,3,DesignSafe RC columns combined
Ang et al.,3,DesignSafe RC columns combined
Lim,3,DesignSafe RC columns combined
Kenchiku Siryo,3,DesignSafe RC columns combined
Vu et al.,3,DesignSafe RC columns combined
Kowalsky ,3,DesignSafe RC columns combined
Calderone et al.,3,DesignSafe RC columns combined
Sritharan et al.,3,DesignSafe RC columns combined
Nakamura et al.,3,DesignSafe RC columns combined
Sezen ,3,DesignSafe RC columns combined
Ohno and Nishioka,3,DesignSafe RC columns combined
Aboutaha and Machado,3,DesignSafe RC columns combined
Yalcin,2,DesignSafe RC columns combined
Omar,2,DesignSafe RC columns combined
Priestley,2,DesignSafe RC columns combined
Ng,2,DesignSafe RC columns combined
Ang,2,DesignSafe RC columns combined
Zahn et al.,2,DesignSafe RC columns combined
Watson_Park,2,DesignSafe RC columns combined
Wong et al.,2,DesignSafe RC columns combined
Cheok et al.,2,DesignSafe RC columns combined
Henry,2,DesignSafe RC columns combined
Nagasaka,2,DesignSafe RC columns combined
Umehara,2,DesignSafe RC columns combined
Aboutaha,2,DesignSafe RC columns combined
Verma,2,DesignSafe RC columns combined
Ohue,2,DesignSafe RC columns combined
Ono,2,DesignSafe RC columns combined
Kokusho,2,DesignSafe RC columns combined
Kokusho & Fukuhara,2,DesignSafe RC columns combined
Elwood,2,DesignSafe RC columns combined
Zahn ,2,DesignSafe RC columns combined
Hussein,1,DesignSafe RC columns combined
Wong,1,DesignSafe RC columns combined
Munro ,1,DesignSafe RC columns combined
Hose et al.,1,DesignSafe RC columns combined
Coffman,1,DesignSafe RC columns combined
Imai,1,DesignSafe RC columns combined
Bett,1,DesignSafe RC columns combined
Amitsu,1,DesignSafe RC columns combined
Saatcioglu,1,DesignSafe RC columns combined
Park and Paulay,1,DesignSafe RC columns combined
Azizinamini et al.,1,DesignSafe RC columns combined
