group,n,case,task
[20],20,Mendeley exterior RC beam-column joints,shear_strength_regression
[7],18,Mendeley exterior RC beam-column joints,shear_strength_regression
[27],15,Mendeley exterior RC beam-column joints,shear_strength_regression
[21],13,Mendeley exterior RC beam-column joints,shear_strength_regression
"[22,23]",12,Mendeley exterior RC beam-column joints,shear_strength_regression
[26],12,Mendeley exterior RC beam-column joints,shear_strength_regression
[19],10,Mendeley exterior RC beam-column joints,shear_strength_regression
[16],9,Mendeley exterior RC beam-column joints,shear_strength_regression
[17],9,Mendeley exterior RC beam-column joints,shear_strength_regression
[5],6,Mendeley exterior RC beam-column joints,shear_strength_regression
[24],6,Mendeley exterior RC beam-column joints,shear_strength_regression
[6],5,Mendeley exterior RC beam-column joints,shear_strength_regression
[9],5,Mendeley exterior RC beam-column joints,shear_strength_regression
[11],5,Mendeley exterior RC beam-column joints,shear_strength_regression
[15],5,Mendeley exterior RC beam-column joints,shear_strength_regression
[25],5,Mendeley exterior RC beam-column joints,shear_strength_regression
[34],5,Mendeley exterior RC beam-column joints,shear_strength_regression
[8],4,Mendeley exterior RC beam-column joints,shear_strength_regression
[14],4,Mendeley exterior RC beam-column joints,shear_strength_regression
[18],4,Mendeley exterior RC beam-column joints,shear_strength_regression
[29],4,Mendeley exterior RC beam-column joints,shear_strength_regression
[32],4,Mendeley exterior RC beam-column joints,shear_strength_regression
[2],3,Mendeley exterior RC beam-column joints,shear_strength_regression
[3],3,Mendeley exterior RC beam-column joints,shear_strength_regression
[10],3,Mendeley exterior RC beam-column joints,shear_strength_regression
[28],3,Mendeley exterior RC beam-column joints,shear_strength_regression
[31],3,Mendeley exterior RC beam-column joints,shear_strength_regression
[4],2,Mendeley exterior RC beam-column joints,shear_strength_regression
[30],2,Mendeley exterior RC beam-column joints,shear_strength_regression
[1],1,Mendeley exterior RC beam-column joints,shear_strength_regression
[12],1,Mendeley exterior RC beam-column joints,shear_strength_regression
[13],1,Mendeley exterior RC beam-column joints,shear_strength_regression
[33],1,Mendeley exterior RC beam-column joints,shear_strength_regression
[20],20,Mendeley exterior RC beam-column joints,failure_mode_classification
[7],18,Mendeley exterior RC beam-column joints,failure_mode_classification
[27],15,Mendeley exterior RC beam-column joints,failure_mode_classification
[21],13,Mendeley exterior RC beam-column joints,failure_mode_classification
"[22,23]",12,Mendeley exterior RC beam-column joints,failure_mode_classification
[26],12,Mendeley exterior RC beam-column joints,failure_mode_classification
[19],10,Mendeley exterior RC beam-column joints,failure_mode_classification
[16],9,Mendeley exterior RC beam-column joints,failure_mode_classification
[17],9,Mendeley exterior RC beam-column joints,failure_mode_classification
[5],6,Mendeley exterior RC beam-column joints,failure_mode_classification
[24],6,Mendeley exterior RC beam-column joints,failure_mode_classification
[6],5,Mendeley exterior RC beam-column joints,failure_mode_classification
[9],5,Mendeley exterior RC beam-column joints,failure_mode_classification
[11],5,Mendeley exterior RC beam-column joints,failure_mode_classification
[15],5,Mendeley exterior RC beam-column joints,failure_mode_classification
[25],5,Mendeley exterior RC beam-column joints,failure_mode_classification
[34],5,Mendeley exterior RC beam-column joints,failure_mode_classification
[8],4,Mendeley exterior RC beam-column joints,failure_mode_classification
[14],4,Mendeley exterior RC beam-column joints,failure_mode_classification
[18],4,Mendeley exterior RC beam-column joints,failure_mode_classification
[29],4,Mendeley exterior RC beam-column joints,failure_mode_classification
[32],4,Mendeley exterior RC beam-column joints,failure_mode_classification
[2],3,Mendeley exterior RC beam-column joints,failure_mode_classification
[3],3,Mendeley exterior RC beam-column joints,failure_mode_classification
[10],3,Mendeley exterior RC beam-column joints,failure_mode_classification
[28],3,Mendeley exterior RC beam-column joints,failure_mode_classification
[31],3,Mendeley exterior RC beam-column joints,failure_mode_classification
[4],2,Mendeley exterior RC beam-column joints,failure_mode_classification
[30],2,Mendeley exterior RC beam-column joints,failure_mode_classification
[1],1,Mendeley exterior RC beam-column joints,failure_mode_classification
[12],1,Mendeley exterior RC beam-column joints,failure_mode_classification
[13],1,Mendeley exterior RC beam-column joints,failure_mode_classification
[33],1,Mendeley exterior RC beam-column joints,failure_mode_classification
Kaku & Asakusa (1991),18,Mendeley cyclic beam-column joint shear,joint_shear_strength_regression
Ehsani & Alamed dine (1991),11,Mendeley cyclic beam-column joint shear,joint_shear_strength_regression
Fujii & Morita (1991),8,Mendeley cyclic beam-column joint shear,joint_shear_strength_regression
Ehsani & Wight (1985),6,Mendeley cyclic beam-column joint shear,joint_shear_strength_regression
Xinchen Z. and Bing Li (2020),6,Mendeley cyclic beam-column joint shear,joint_shear_strength_regression
"Burak & Wight  (2005, 2008)",5,Mendeley cyclic beam-column joint shear,joint_shear_strength_regression
Lee & Ko (2007),5,Mendeley cyclic beam-column joint shear,joint_shear_strength_regression
Teng & Zhou (2008),5,Mendeley cyclic beam-column joint shear,joint_shear_strength_regression
Gentry & Wight (1994),4,Mendeley cyclic beam-column joint shear,joint_shear_strength_regression
"Guimaraes, Kreger & Jirsa (1992)",4,Mendeley cyclic beam-column joint shear,joint_shear_strength_regression
"Kitayama, Otani & Aoyama (1991)",4,Mendeley cyclic beam-column joint shear,joint_shear_strength_regression
LaFave & Wight (1999),4,Mendeley cyclic beam-column joint shear,joint_shear_strength_regression
Raffaelle & Wight (2001),4,Mendeley cyclic beam-column joint shear,joint_shear_strength_regression
"Shin & LaFave (2004, 2004)",4,Mendeley cyclic beam-column joint shear,joint_shear_strength_regression
Durrani & Wight (1985),3,Mendeley cyclic beam-column joint shear,joint_shear_strength_regression
QuinteroFebres & Wight (2001),3,Mendeley cyclic beam-column joint shear,joint_shear_strength_regression
