module,descriptor,model,metric_type,n_groups,groups_with_feature_shift,median_grouped_loss,median_paired_loss_gap,spearman_feature_shift_vs_grouped_loss,spearman_target_shift_vs_grouped_loss,spearman_group_size_vs_grouped_loss,mechanism_fingerprint
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Gradient Boosting,regression,428,0,0.092823,0.001395,,0.152,0.116,target_or_class_shift_associated
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Random Forest,regression,428,0,0.076504,0.001820,,0.127,0.269,group_size_associated
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,428,0,0.189036,-0.000048,,0.274,0.268,target_or_class_shift_associated
10-1016-j-engstruct-2019-110331,10-1016-j-engstruct-2019-110331,Gradient Boosting,classification,75,0,0.181818,0.000000,,0.037,0.403,group_size_associated
10-1016-j-engstruct-2019-110331,10-1016-j-engstruct-2019-110331,Logistic Regression,classification,75,0,0.333333,0.000000,,-0.112,0.317,group_size_associated
10-1016-j-engstruct-2019-110331,10-1016-j-engstruct-2019-110331,Random Forest,classification,75,0,0.250000,0.000000,,0.055,0.332,group_size_associated
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Gradient Boosting,regression,118,0,0.411087,0.069165,,0.359,0.201,target_or_class_shift_associated
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Random Forest,regression,118,0,0.332535,0.042114,,0.298,0.279,target_or_class_shift_associated
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Ridge,regression,118,0,0.452659,0.013906,,0.404,0.116,target_or_class_shift_associated
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Gradient Boosting,regression,3,3,0.170220,0.119585,-1.000,1.000,0.500,feature_shift_associated
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Random Forest,regression,3,3,0.168709,0.132869,-0.500,0.500,1.000,group_size_associated
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Ridge,regression,3,3,0.110658,0.044071,-1.000,1.000,0.500,feature_shift_associated
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Gradient Boosting,regression,54,54,0.095192,0.038138,-0.157,-0.167,0.294,group_size_associated
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Random Forest,regression,54,54,0.096270,0.052469,-0.019,-0.052,0.305,group_size_associated
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Ridge,regression,54,54,0.136167,0.062975,0.041,-0.003,0.254,group_size_associated
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Gradient Boosting,regression,28,0,0.411886,0.088614,,0.359,-0.065,target_or_class_shift_associated
designsafe_prj2430_wall,PRJ-2430 RC wall drift capacity|driftCap,Random Forest,regression,28,0,0.396585,0.065319,,0.445,-0.186,target_or_class_shift_associated
