module,descriptor,model,metric_type,basis,n_samples,n_groups,pooled_random_loss,pooled_grouped_loss,pooled_loss_delta_grouped_minus_random,source_balanced_random_loss,source_balanced_grouped_loss,source_balanced_loss_delta_grouped_minus_random,source_balancing_changes_delta_by,probe_interpretation
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Ridge,regression,normalized absolute error,1030,428,0.231839,0.231965,0.000126,0.208829,0.208737,-0.000092,-0.000217,source_weighting_similar_to_pooled
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Random Forest,regression,normalized absolute error,1030,428,0.098239,0.121027,0.022788,0.102591,0.106129,0.003539,-0.019249,source_weighting_similar_to_pooled
10-1016-j-conbuildmat-2020-120950,10-1016-j-conbuildmat-2020-120950,Gradient Boosting,regression,normalized absolute error,1030,428,0.103639,0.123392,0.019753,0.115894,0.121838,0.005944,-0.013808,source_weighting_similar_to_pooled
10-1016-j-engstruct-2019-110331,10-1016-j-engstruct-2019-110331,Logistic Regression,classification,classification error,393,75,0.379135,0.610687,0.231552,0.353404,0.440674,0.087270,-0.144283,source_weighting_exposes_less_degradation
10-1016-j-engstruct-2019-110331,10-1016-j-engstruct-2019-110331,Random Forest,classification,classification error,393,75,0.173028,0.483461,0.310433,0.199603,0.373214,0.173611,-0.136822,source_weighting_exposes_less_degradation
10-1016-j-engstruct-2019-110331,10-1016-j-engstruct-2019-110331,Gradient Boosting,classification,classification error,393,75,0.183206,0.531807,0.348601,0.248436,0.360758,0.112322,-0.236279,source_weighting_exposes_less_degradation
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Ridge,regression,normalized absolute error,488,118,0.533147,0.637899,0.104752,0.555025,0.590830,0.035805,-0.068947,source_weighting_exposes_less_degradation
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Random Forest,regression,normalized absolute error,488,118,0.327799,0.716631,0.388832,0.457443,0.596962,0.139519,-0.249313,source_weighting_exposes_less_degradation
10-1016-j-engstruct-2020-111743,10-1016-j-engstruct-2020-111743,Gradient Boosting,regression,normalized absolute error,488,118,0.350107,0.649606,0.299499,0.460782,0.587142,0.126360,-0.173140,source_weighting_exposes_less_degradation
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Ridge,regression,normalized absolute error,1316,3,0.067884,0.125548,0.057664,0.069867,0.123977,0.054110,-0.003554,source_weighting_similar_to_pooled
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Random Forest,regression,normalized absolute error,1316,3,0.039669,0.158328,0.118659,0.038951,0.146243,0.107292,-0.011367,source_weighting_similar_to_pooled
10-1038-s41598-024-53352-1,10-1038-s41598-024-53352-1,Gradient Boosting,regression,normalized absolute error,1316,3,0.048211,0.157877,0.109666,0.047442,0.146988,0.099547,-0.010119,source_weighting_similar_to_pooled
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Ridge,regression,normalized absolute error,804,54,0.063574,0.160549,0.096975,0.067250,0.149555,0.082305,-0.014671,source_weighting_similar_to_pooled
10-5281-zenodo-8062007,10-5281-zenodo-8062007,Random Forest,regression,normalized absolute error,804,54,0.039084,0.139615,0.100531,0.042347,0.123327,0.080980,-0.019551,source_weighting_similar_to_pooled
