dataset_id,module_name,task_type,source_name,doi,landing_url,download_method,redistribution_allowed,raw_data_included,processed_data_included,license_note,access_date,sha256_if_available,grouping_variable,notes
mangalathu_2019_shear_wall,Mangalathu shear-wall failure mode,classification,Engineering Structures (Mangalathu et al.),10.1016/j.engstruct.2019.110331,https://doi.org/10.1016/j.engstruct.2019.110331,script code/05_download_shear_wall_dataset.py,false,false,true_if_regenerated,Follow publisher / author data terms; archive ships scripts + processed metrics only where permitted.,2026-05-03,,Author/source-family proxy,Regenerated outputs under code/outputs/reproductions/10-1016-j-engstruct-2019-110331/
sfrc_lantsoght,SFRC shear capacity,regression,Engineering Structures (Rahman / Lantsoght setting),10.1016/j.engstruct.2020.111743,https://doi.org/10.1016/j.engstruct.2020.111743,script code/07_download_sfrc_zenodo.py,false,false,true_if_regenerated,Zenodo / journal terms apply.,2026-05-03,,Source-reference groups,
uci_concrete,UCI concrete strength,regression,UCI ML repository,,https://archive.ics.uci.edu/ml/datasets/Concrete+Compressive+Strength,script code/09_download_uci_concrete.py,false,false,true_if_regenerated,UCI terms.,2026-05-03,,mix_group identical proportions,
corroded_rc_beam_zenodo,Corroded RC beam moment capacity,regression,Matthews et al. Zenodo,10.5281/zenodo.8062007,https://doi.org/10.5281/zenodo.8062007,script code/15_download_corroded_rc_beam_dataset.py,false,false,true_if_regenerated,Zenodo license on record page.,2026-05-03,,Experimental programme,
stub_cfst_scirep,Stub CFST axial capacity,regression,Scientific Reports (Megahed et al.),10.1038/s41598-024-53352-1,https://doi.org/10.1038/s41598-024-53352-1,script code/13_download_stub_cfst_dataset.py,false,false,true_if_regenerated,GitHub / SciRep supplementary terms.,2026-05-03,,Section family,
mendeley_exterior_joint,Mendeley exterior joint,regression_classification,Mendeley Data,10.17632/8ndgpm7zw7.1,https://doi.org/10.17632/8ndgpm7zw7.1,script code/22_download_mendeley_beam_column_joint.py,false,false,true_if_regenerated,Mendeley Data terms.,2026-05-03,,Reference-coded authors,
mendeley_cyclic_joint,Mendeley cyclic joint shear,regression,Mendeley Data,10.17632/rbhfnz32sy.1,https://doi.org/10.17632/rbhfnz32sy.1,script code/22_download_mendeley_beam_column_joint.py,false,false,true_if_regenerated,Mendeley Data terms.,2026-05-03,,Research team,
designsafe_rc_columns_circ,DesignSafe circular RC columns,regression,DesignSafe Data Depot,10.17603/ds2-52bz-0n63,https://doi.org/10.17603/ds2-52bz-0n63,script code/27_download_designsafe_rc_columns.py,false,false,true_if_regenerated,DesignSafe policy; user agreement required.,2026-05-03,,Author/source proxy,
designsafe_rc_columns_rect,DesignSafe rectangular RC columns,regression,DesignSafe Data Depot,10.17603/ds2-7qg0-4303,https://doi.org/10.17603/ds2-7qg0-4303,script code/27_download_designsafe_rc_columns.py,false,false,true_if_regenerated,DesignSafe policy; user agreement required.,2026-05-03,,Author/source proxy,
designsafe_prj2430_wall,DesignSafe PRJ-2430 RC walls,regression,DesignSafe Data Depot,10.17603/ds2-r12q-t415,https://doi.org/10.17603/ds2-r12q-t415,script code/29_download_designsafe_prj2430_wall.py,false,false,true_if_regenerated,DesignSafe policy.,2026-05-03,,Author/source,
designsafe_prj3053_coupling,DesignSafe PRJ-3053 coupling beams,regression,DesignSafe Data Depot,10.17603/ds2-g5n8-4p74,https://doi.org/10.17603/ds2-g5n8-4p74,scripts 31/32 in code/,false,false,true_if_regenerated,DesignSafe policy.,2026-05-03,,Literature reference groups,
openalex_metadata,OpenAlex sampling frame,metadata,OpenAlex API,,https://openalex.org/,"scripts code/01_literature_search.py, code/02_screen.py",false,false,partial_summaries_only,CC0 OpenAlex entities; bulk redistribution not shipped.,2026-05-03,,n/a,See outputs/tables/openalex_candidate_pool_summary.csv
