scenario,action_set,outer_fold,protocol,alpha,n_candidates,n_feasible,admissible,G_mode,G_refuse_mode,A_mode,G_model,G_margin,G_released,G_unsafe,A_released,A_unsafe,same_choice
beam_release,regression,0,random,0.05,63,63,True,release,release,release,GradientBoosting,0.0,17,0,17,0,True
beam_release,regression,0,random,0.1,63,63,True,release,release,release,GradientBoosting,0.0,17,0,17,0,True
beam_release,regression,0,random,0.2,63,63,True,release,release,release,GradientBoosting,0.0,17,0,17,0,True
beam_release,regression,0,source,0.05,63,52,True,release,release,release,GradientBoosting,0.1,17,0,17,0,True
beam_release,regression,0,source,0.1,63,63,True,release,release,release,RandomForest,0.0,17,0,17,0,True
beam_release,regression,0,source,0.2,63,63,True,release,release,release,RandomForest,0.0,17,0,17,0,True
beam_release,regression,1,random,0.05,63,63,True,release,release,release,GradientBoosting,0.0,90,9,90,9,True
beam_release,regression,1,random,0.1,63,63,True,release,release,release,GradientBoosting,0.0,90,9,90,9,True
beam_release,regression,1,random,0.2,63,63,True,release,release,release,GradientBoosting,0.0,90,9,90,9,True
beam_release,regression,1,source,0.05,63,55,True,release,release,release,GradientBoosting,0.0,90,9,90,9,True
beam_release,regression,1,source,0.1,63,61,True,release,release,release,Ridge,0.1,62,1,62,1,True
beam_release,regression,1,source,0.2,63,63,True,release,release,release,Ridge,0.0,65,1,65,1,True
beam_release,regression,2,random,0.05,63,63,True,release,release,release,RandomForest,0.0,114,5,114,5,True
beam_release,regression,2,random,0.1,63,63,True,release,release,release,RandomForest,0.0,114,5,114,5,True
beam_release,regression,2,random,0.2,63,63,True,release,release,release,RandomForest,0.0,114,5,114,5,True
beam_release,regression,2,source,0.05,63,51,True,release,release,release,GradientBoosting,0.05,115,3,115,3,True
beam_release,regression,2,source,0.1,63,54,True,release,release,release,RandomForest,0.2,109,3,109,3,True
beam_release,regression,2,source,0.2,63,63,True,release,release,release,RandomForest,0.0,114,5,114,5,True
beam_release,regression,3,random,0.05,63,63,True,release,release,release,RandomForest,0.0,136,4,136,4,True
beam_release,regression,3,random,0.1,63,63,True,release,release,release,RandomForest,0.0,136,4,136,4,True
beam_release,regression,3,random,0.2,63,63,True,release,release,release,RandomForest,0.0,136,4,136,4,True
beam_release,regression,3,source,0.05,63,56,True,release,release,release,RandomForest,0.0,136,4,136,4,True
beam_release,regression,3,source,0.1,63,61,True,release,release,release,Ridge,0.1,127,1,127,1,True
beam_release,regression,3,source,0.2,63,63,True,release,release,release,Ridge,0.0,130,2,130,2,True
beam_release,regression,4,random,0.05,63,63,True,release,release,release,Ridge,0.0,59,22,59,22,True
beam_release,regression,4,random,0.1,63,63,True,release,release,release,Ridge,0.0,59,22,59,22,True
beam_release,regression,4,random,0.2,63,63,True,release,release,release,Ridge,0.0,59,22,59,22,True
beam_release,regression,4,source,0.05,63,42,True,release,release,release,GradientBoosting,0.4,38,0,38,0,True
beam_release,regression,4,source,0.1,63,63,True,release,release,release,GradientBoosting,0.0,48,8,48,8,True
beam_release,regression,4,source,0.2,63,63,True,release,release,release,GradientBoosting,0.0,48,8,48,8,True
failure_mode,act_on_confidence,0,random,0.05,12,1,True,release,release,release,RandomForest,,0,0,0,0,True
failure_mode,act_on_confidence,0,random,0.1,12,2,True,release,release,release,ExtraTrees,,0,0,0,0,True
failure_mode,act_on_confidence,0,random,0.2,12,2,True,release,release,release,ExtraTrees,,0,0,0,0,True
failure_mode,act_on_confidence,0,source,0.05,12,2,True,release,release,release,RandomForest,,0,0,0,0,True
failure_mode,act_on_confidence,0,source,0.1,12,2,True,release,release,release,RandomForest,,0,0,0,0,True
failure_mode,act_on_confidence,0,source,0.2,12,4,True,release,release,release,ExtraTrees,,4,0,4,0,True
failure_mode,act_on_confidence,1,random,0.05,12,2,True,release,release,release,ExtraTrees,,0,0,0,0,True
failure_mode,act_on_confidence,1,random,0.1,12,2,True,release,release,release,ExtraTrees,,0,0,0,0,True
failure_mode,act_on_confidence,1,random,0.2,12,2,True,release,release,release,ExtraTrees,,0,0,0,0,True
failure_mode,act_on_confidence,1,source,0.05,12,2,True,release,release,release,ExtraTrees,,0,0,0,0,True
failure_mode,act_on_confidence,1,source,0.1,12,3,True,release,release,release,ExtraTrees,,6,6,6,6,True
failure_mode,act_on_confidence,1,source,0.2,12,4,True,release,release,release,RandomForest,,10,10,10,10,True
failure_mode,act_on_confidence,2,random,0.05,12,2,True,release,release,release,ExtraTrees,,0,0,0,0,True
failure_mode,act_on_confidence,2,random,0.1,12,2,True,release,release,release,ExtraTrees,,0,0,0,0,True
failure_mode,act_on_confidence,2,random,0.2,12,3,True,release,release,release,RandomForest,,22,20,22,20,True
failure_mode,act_on_confidence,2,source,0.05,12,2,True,release,release,release,ExtraTrees,,0,0,0,0,True
failure_mode,act_on_confidence,2,source,0.1,12,4,True,release,release,release,ExtraTrees,,6,5,6,5,True
failure_mode,act_on_confidence,2,source,0.2,12,5,True,release,release,release,RandomForest,,46,37,46,37,True
failure_mode,act_on_confidence,3,random,0.05,12,2,True,release,release,release,ExtraTrees,,1,1,1,1,True
failure_mode,act_on_confidence,3,random,0.1,12,2,True,release,release,release,ExtraTrees,,1,1,1,1,True
failure_mode,act_on_confidence,3,random,0.2,12,2,True,release,release,release,ExtraTrees,,1,1,1,1,True
failure_mode,act_on_confidence,3,source,0.05,12,2,True,release,release,release,RandomForest,,1,1,1,1,True
failure_mode,act_on_confidence,3,source,0.1,12,4,True,release,release,release,RandomForest,,6,6,6,6,True
