field,present_in_input_schema,n_nonmissing,n_rows,nonmissing_coverage
ere_record_weighted,True,2800,2800,1.0
signed_bias_record_weighted,True,2800,2800,1.0
ere_equal_domain,True,2800,2800,1.0
ere_worst_domain,True,2800,2800,1.0
squared_calibration_error_record_weighted,True,2800,2800,1.0
squared_calibration_error_equal_domain,True,2800,2800,1.0
squared_calibration_error_worst_domain,True,2800,2800,1.0
aggregate_external_worst_domain_nrmse,True,2800,2800,1.0
foldwise_absolute_error_secondary,True,2800,2800,1.0
contract_signature_rmse,True,2800,2800,1.0
max_relation_target_abs_error,True,2800,2800,1.0
semantic_loss_count,True,800,2800,0.2857142857142857
backend_compile_exact,True,800,2800,0.2857142857142857
