field,present_in_input_schema,n_nonmissing,n_rows,nonmissing_coverage
ere_record_weighted,False,0,0,
signed_bias_record_weighted,False,0,0,
ere_equal_domain,False,0,0,
ere_worst_domain,False,0,0,
squared_calibration_error_record_weighted,False,0,0,
squared_calibration_error_equal_domain,False,0,0,
squared_calibration_error_worst_domain,False,0,0,
aggregate_external_worst_domain_nrmse,False,0,0,
foldwise_absolute_error_secondary,False,0,0,
contract_signature_rmse,False,0,0,
max_relation_target_abs_error,False,0,0,
semantic_loss_count,False,0,0,
backend_compile_exact,False,0,0,
