dataset,variant,model,r2_random5,r2_sizematch,r2_honoured,fold_mean_r2,fold_sd_r2,K,delta_vs_random,delta_vs_sizematch,split_admissible
concrete_strength,honoured_proxy,Ridge,0.6058,0.6066,0.5992,0.592,0.0433,5,-0.00660000000000005,-0.007400000000000073,True
concrete_strength,honoured_proxy,RandomForest,0.9133,0.9077,0.917,0.9161,0.0088,5,0.0037000000000000366,0.009300000000000086,True
concrete_strength,honoured_proxy,ExtraTrees,0.9245,0.9196,0.9202,0.9195,0.0129,5,-0.0042999999999999705,0.0006000000000000449,True
concrete_strength,honoured_proxy,GradientBoosting,0.9036,0.9024,0.9041,0.9014,0.0206,5,0.000500000000000056,0.0017000000000000348,True
concrete_strength,uci_428_ingredients,Ridge,0.6058,,0.5976,0.5924,0.0249,5,-0.008199999999999985,,True
concrete_strength,uci_428_ingredients,RandomForest,0.9133,,0.8648,0.8649,0.0193,5,-0.04849999999999999,,True
concrete_strength,uci_428_ingredients,ExtraTrees,0.9245,,0.8907,0.8913,0.0201,5,-0.03379999999999994,,True
concrete_strength,uci_428_ingredients,GradientBoosting,0.9036,,0.8562,0.8526,0.0304,5,-0.0474,,True
concrete_strength,uci_996_allinputs,Ridge,0.6058,,0.5992,0.592,0.0433,5,-0.00660000000000005,,True
concrete_strength,uci_996_allinputs,RandomForest,0.9133,,0.917,0.9161,0.0088,5,0.0037000000000000366,,True
concrete_strength,uci_996_allinputs,ExtraTrees,0.9245,,0.9202,0.9195,0.0129,5,-0.0042999999999999705,,True
concrete_strength,uci_996_allinputs,GradientBoosting,0.9036,,0.9041,0.9014,0.0206,5,0.000500000000000056,,True
corroded_rc_beam,honoured,Ridge,0.946,0.9428,0.6801,0.4434,0.3305,5,-0.2658999999999999,-0.26269999999999993,True
corroded_rc_beam,honoured,RandomForest,0.9761,0.9755,0.784,0.593,0.2801,5,-0.19209999999999994,-0.1915,True
corroded_rc_beam,honoured,ExtraTrees,0.9787,0.9788,0.8686,0.7901,0.1128,5,-0.11009999999999998,-0.11019999999999996,True
corroded_rc_beam,honoured,GradientBoosting,0.9746,0.9728,0.8342,0.6915,0.1836,5,-0.14039999999999997,-0.13859999999999995,True
coupling_beams_prj3053,honoured,Ridge,0.995,0.9959,0.9936,0.9884,0.0107,5,-0.0013999999999999568,-0.0022999999999999687,True
coupling_beams_prj3053,honoured,RandomForest,0.9667,0.955,0.9195,0.9188,0.0543,5,-0.04720000000000002,-0.035499999999999976,True
coupling_beams_prj3053,honoured,ExtraTrees,0.9905,0.9854,0.9423,0.9382,0.0451,5,-0.04820000000000002,-0.04310000000000003,True
coupling_beams_prj3053,honoured,GradientBoosting,0.9856,0.9822,0.9565,0.9568,0.0352,5,-0.029100000000000015,-0.025699999999999945,True
stub_cfst,honoured,Ridge,0.8428,0.8443,0.4819,-0.9137,1.0848,3,-0.3609,-0.36240000000000006,False
stub_cfst,honoured,RandomForest,0.9388,0.9402,0.5757,0.7528,0.1442,3,-0.3631,-0.36450000000000005,False
stub_cfst,honoured,ExtraTrees,0.9864,0.9714,0.6043,0.7948,0.1522,3,-0.3821000000000001,-0.3671000000000001,False
stub_cfst,honoured,GradientBoosting,0.972,0.9459,0.644,0.789,0.1171,3,-0.32799999999999996,-0.30189999999999995,False
wall_prj2430_Vmax,honoured,Ridge,0.4384,0.4271,-2.8791,-5.7321,4.4629,5,-3.3175000000000003,-3.3062,True
wall_prj2430_Vmax,honoured,RandomForest,0.6743,0.6763,0.2426,0.0324,0.5251,5,-0.4317,-0.4337,True
wall_prj2430_Vmax,honoured,ExtraTrees,0.6928,0.5263,0.2665,0.0642,0.5272,5,-0.42629999999999996,-0.2598,True
wall_prj2430_Vmax,honoured,GradientBoosting,0.6945,0.5744,0.3164,0.0289,0.5512,5,-0.3781,-0.258,True
wall_prj2430_Vmax,honoured_proxy,Ridge,0.4384,-3.3973,-1.8099,-52.4874,86.021,5,-2.2483,1.5874,False
wall_prj2430_Vmax,honoured_proxy,RandomForest,0.6743,0.6344,0.0693,-53.9441,107.9973,5,-0.605,-0.5650999999999999,False
wall_prj2430_Vmax,honoured_proxy,ExtraTrees,0.6928,0.6045,0.1302,-41.2205,82.331,5,-0.5626,-0.47430000000000005,False
wall_prj2430_Vmax,honoured_proxy,GradientBoosting,0.6945,0.6172,0.1684,-66.2373,131.546,5,-0.5261,-0.4488,False
wall_prj2430_Vmax,wall_combo,Ridge,0.4384,,-1.1483,-3.0213,3.2318,5,-1.5867,,True
wall_prj2430_Vmax,wall_combo,RandomForest,0.6743,,0.2516,-0.2214,0.8799,5,-0.4227,,True
wall_prj2430_Vmax,wall_combo,ExtraTrees,0.6928,,0.2745,0.0426,0.2572,5,-0.41829999999999995,,True
wall_prj2430_Vmax,wall_combo,GradientBoosting,0.6945,,0.3314,0.0673,0.2963,5,-0.36310000000000003,,True
wall_prj2430_drift,honoured,Ridge,-0.1174,-0.6602,-1.8392,-1.9362,1.1691,5,-1.7218,-1.1789999999999998,True
wall_prj2430_drift,honoured,RandomForest,0.282,0.2389,-0.1139,-0.0344,0.5314,5,-0.3959,-0.3528,True
wall_prj2430_drift,honoured,ExtraTrees,0.3104,0.2576,0.1183,0.1547,0.4384,5,-0.1921,-0.13929999999999998,True
wall_prj2430_drift,honoured,GradientBoosting,0.167,0.015,-0.1185,-0.1173,0.4135,5,-0.2855,-0.1335,True
