scenario,outer_fold,protocol,alpha,demand_quantile,demand_physical,model,margin,inner_r_all,inner_coverage,realised_r_all,realised_r_released,realised_coverage,n_test,n_released,n_unsafe,gap_r_all,target_met,action_set,confidence
beam_release,0,random,0.05,0.5,15.675,GradientBoosting,0.0,0.01402,0.5,0.0,0.0,0.1049,162,17,0,-0.01402,True,,
beam_release,0,random,0.1,0.5,15.675,GradientBoosting,0.0,0.01402,0.5,0.0,0.0,0.1049,162,17,0,-0.01402,True,,
beam_release,0,random,0.2,0.5,15.675,GradientBoosting,0.0,0.01402,0.5,0.0,0.0,0.1049,162,17,0,-0.01402,True,,
beam_release,0,source,0.05,0.5,15.675,GradientBoosting,0.1,0.03894,0.4938,0.0,0.0,0.1049,162,17,0,-0.03894,True,,
beam_release,0,source,0.1,0.5,15.675,RandomForest,0.0,0.08567,0.5639,0.0,0.0,0.1049,162,17,0,-0.08567,True,,
beam_release,0,source,0.2,0.5,15.675,RandomForest,0.0,0.08567,0.5639,0.0,0.0,0.1049,162,17,0,-0.08567,True,,
beam_release,1,random,0.05,0.5,10.81,GradientBoosting,0.0,0.01246,0.5,0.05556,0.1,0.5556,162,90,9,0.04309,False,,
beam_release,1,random,0.1,0.5,10.81,GradientBoosting,0.0,0.01246,0.5,0.05556,0.1,0.5556,162,90,9,0.04309,True,,
beam_release,1,random,0.2,0.5,10.81,GradientBoosting,0.0,0.01246,0.5,0.05556,0.1,0.5556,162,90,9,0.04309,True,,
beam_release,1,source,0.05,0.5,10.81,GradientBoosting,0.0,0.04829,0.514,0.05556,0.1,0.5556,162,90,9,0.00727,False,,
beam_release,1,source,0.1,0.5,10.81,Ridge,0.1,0.09657,0.5296,0.00617,0.01613,0.3827,162,62,1,-0.0904,True,,
beam_release,1,source,0.2,0.5,10.81,Ridge,0.0,0.10748,0.5467,0.00617,0.01538,0.4012,162,65,1,-0.1013,True,,
beam_release,2,random,0.05,0.5,9.685,RandomForest,0.0,0.02174,0.4922,0.03125,0.04386,0.7125,160,114,5,0.00951,True,,
beam_release,2,random,0.1,0.5,9.685,RandomForest,0.0,0.02174,0.4922,0.03125,0.04386,0.7125,160,114,5,0.00951,True,,
beam_release,2,random,0.2,0.5,9.685,RandomForest,0.0,0.02174,0.4922,0.03125,0.04386,0.7125,160,114,5,0.00951,True,,
beam_release,2,source,0.05,0.5,9.685,GradientBoosting,0.05,0.02484,0.455,0.01875,0.02609,0.7188,160,115,3,-0.00609,True,,
beam_release,2,source,0.1,0.5,9.685,RandomForest,0.2,0.06366,0.4752,0.01875,0.02752,0.6813,160,109,3,-0.04491,True,,
beam_release,2,source,0.2,0.5,9.685,RandomForest,0.0,0.16304,0.5932,0.03125,0.04386,0.7125,160,114,5,-0.13179,True,,
beam_release,3,random,0.05,0.5,9.545,RandomForest,0.0,0.02484,0.4969,0.025,0.02941,0.85,160,136,4,0.00016,True,,
beam_release,3,random,0.1,0.5,9.545,RandomForest,0.0,0.02484,0.4969,0.025,0.02941,0.85,160,136,4,0.00016,True,,
beam_release,3,random,0.2,0.5,9.545,RandomForest,0.0,0.02484,0.4969,0.025,0.02941,0.85,160,136,4,0.00016,True,,
beam_release,3,source,0.05,0.5,9.545,RandomForest,0.0,0.02795,0.4317,0.025,0.02941,0.85,160,136,4,-0.00295,True,,
beam_release,3,source,0.1,0.5,9.545,Ridge,0.1,0.09938,0.5404,0.00625,0.00787,0.7937,160,127,1,-0.09313,True,,
beam_release,3,source,0.2,0.5,9.545,Ridge,0.0,0.11491,0.5699,0.0125,0.01538,0.8125,160,130,2,-0.10241,True,,
beam_release,4,random,0.05,0.5,13.16,Ridge,0.0,0.0264,0.5078,0.1375,0.37288,0.3688,160,59,22,0.1111,False,,
beam_release,4,random,0.1,0.5,13.16,Ridge,0.0,0.0264,0.5078,0.1375,0.37288,0.3688,160,59,22,0.1111,False,,
beam_release,4,random,0.2,0.5,13.16,Ridge,0.0,0.0264,0.5078,0.1375,0.37288,0.3688,160,59,22,0.1111,True,,
beam_release,4,source,0.05,0.5,13.16,GradientBoosting,0.4,0.04037,0.4829,0.0,0.0,0.2375,160,38,0,-0.04037,True,,
beam_release,4,source,0.1,0.5,13.16,GradientBoosting,0.0,0.06056,0.5466,0.05,0.16667,0.3,160,48,8,-0.01056,True,,
beam_release,4,source,0.2,0.5,13.16,GradientBoosting,0.0,0.06056,0.5466,0.05,0.16667,0.3,160,48,8,-0.01056,True,,
failure_mode,0,random,0.05,,,RandomForest,,0.01967,0.0197,0.0,,0.0,88,0,0,-0.01967,True,act_on_confidence,1.0
failure_mode,0,random,0.1,,,ExtraTrees,,0.05574,0.0721,0.0,,0.0,88,0,0,-0.05574,True,act_on_confidence,1.0
