dataset,variant,model,n,n_sources,mse_record_weighted,mse_source_equal,rmse_record_weighted,rmse_source_equal,ratio_source_equal_over_record
stub_cfst,random5,Ridge,1316,3,29148815.01857,24840330.95827,5398.9643,4984.0075,0.852
stub_cfst,random5,RandomForest,1316,3,11342299.10369,7950421.42215,3367.833,2819.6492,0.701
stub_cfst,random5,ExtraTrees,1316,3,2522177.49321,1814957.26697,1588.1365,1347.2035,0.72
stub_cfst,random5,GradientBoosting,1316,3,5195594.26949,3603825.1687,2279.3846,1898.3743,0.694
stub_cfst,honoured,Ridge,1316,3,96040166.65263,71965921.19213,9800.0085,8483.273,0.749
stub_cfst,honoured,RandomForest,1316,3,78660689.48758,51779798.71676,8869.0862,7195.8181,0.658
stub_cfst,honoured,ExtraTrees,1316,3,73356759.04371,48154448.83363,8564.856,6939.3407,0.656
stub_cfst,honoured,GradientBoosting,1316,3,65990331.21604,43323849.98115,8123.4433,6582.0855,0.657
stub_cfst,sizematch,Ridge,1316,3,28854960.47575,25565606.614,5371.6813,5056.2443,0.886
stub_cfst,sizematch,RandomForest,1316,3,11082551.39542,7614389.44155,3329.0466,2759.4183,0.687
stub_cfst,sizematch,ExtraTrees,1316,3,5305501.5279,3624775.52125,2303.3674,1903.8843,0.683
stub_cfst,sizematch,GradientBoosting,1316,3,10037367.76307,6652681.8468,3168.1805,2579.2793,0.663
corroded_rc_beam,random5,Ridge,804,54,0.06121,0.07383,0.2474,0.2717,1.206
corroded_rc_beam,random5,RandomForest,804,54,0.02713,0.02803,0.1647,0.1674,1.033
corroded_rc_beam,random5,ExtraTrees,804,54,0.02413,0.0223,0.1553,0.1493,0.924
corroded_rc_beam,random5,GradientBoosting,804,54,0.02877,0.02921,0.1696,0.1709,1.015
corroded_rc_beam,honoured,Ridge,804,54,0.36267,0.35842,0.6022,0.5987,0.988
corroded_rc_beam,honoured,RandomForest,804,54,0.2449,0.2345,0.4949,0.4843,0.958
corroded_rc_beam,honoured,ExtraTrees,804,54,0.14896,0.13986,0.386,0.374,0.939
corroded_rc_beam,honoured,GradientBoosting,804,54,0.18801,0.15392,0.4336,0.3923,0.819
corroded_rc_beam,sizematch,Ridge,804,54,0.06483,0.08414,0.2546,0.2901,1.298
corroded_rc_beam,sizematch,RandomForest,804,54,0.02782,0.03456,0.1668,0.1859,1.242
corroded_rc_beam,sizematch,ExtraTrees,804,54,0.02404,0.02515,0.155,0.1586,1.046
corroded_rc_beam,sizematch,GradientBoosting,804,54,0.03087,0.03293,0.1757,0.1815,1.066
wall_prj2430_Vmax,random5,Ridge,142,28,6969.35126,7419.27092,83.4826,86.1352,1.065
wall_prj2430_Vmax,random5,RandomForest,142,28,4133.23912,4096.62618,64.2903,64.0049,0.991
wall_prj2430_Vmax,random5,ExtraTrees,142,28,3892.86161,3696.01535,62.3928,60.7949,0.949
wall_prj2430_Vmax,random5,GradientBoosting,142,28,3949.34028,4030.45902,62.8438,63.4859,1.021
wall_prj2430_Vmax,honoured,Ridge,142,28,56612.28109,58322.15175,237.9334,241.4998,1.03
wall_prj2430_Vmax,honoured,RandomForest,142,28,9381.30518,9012.87581,96.8571,94.9362,0.961
wall_prj2430_Vmax,honoured,ExtraTrees,142,28,9123.35131,7975.99264,95.5162,89.3084,0.874
wall_prj2430_Vmax,honoured,GradientBoosting,142,28,8066.52293,8112.89172,89.8138,90.0716,1.006
wall_prj2430_Vmax,sizematch,Ridge,142,28,7305.32218,7878.44243,85.4712,88.7606,1.078
wall_prj2430_Vmax,sizematch,RandomForest,142,28,4097.90071,4022.25868,64.0148,63.4213,0.982
wall_prj2430_Vmax,sizematch,ExtraTrees,142,28,6170.68007,5607.17976,78.5537,74.8811,0.909
wall_prj2430_Vmax,sizematch,GradientBoosting,142,28,5453.7252,5194.19887,73.8493,72.0708,0.952
wall_prj2430_drift,random5,Ridge,142,28,1.90212,2.52852,1.3792,1.5901,1.329
wall_prj2430_drift,random5,RandomForest,142,28,1.20259,1.19224,1.0966,1.0919,0.991
wall_prj2430_drift,random5,ExtraTrees,142,28,1.15404,1.30483,1.0743,1.1423,1.131
wall_prj2430_drift,random5,GradientBoosting,142,28,1.38881,1.45383,1.1785,1.2057,1.047
wall_prj2430_drift,honoured,Ridge,142,28,4.56239,5.49381,2.136,2.3439,1.204
wall_prj2430_drift,honoured,RandomForest,142,28,1.89176,1.84265,1.3754,1.3574,0.974
wall_prj2430_drift,honoured,ExtraTrees,142,28,1.49148,1.51404,1.2213,1.2305,1.015
wall_prj2430_drift,honoured,GradientBoosting,142,28,1.97409,1.84296,1.405,1.3576,0.934
wall_prj2430_drift,sizematch,Ridge,142,28,3.04801,5.5816,1.7459,2.3625,1.831
wall_prj2430_drift,sizematch,RandomForest,142,28,1.29181,1.30976,1.1366,1.1444,1.014
wall_prj2430_drift,sizematch,ExtraTrees,142,28,1.26204,1.48661,1.1234,1.2193,1.178
wall_prj2430_drift,sizematch,GradientBoosting,142,28,1.63981,1.668,1.2806,1.2915,1.017
coupling_beams_prj3053,random5,Ridge,60,21,31.63166,37.70625,5.6242,6.1405,1.192
coupling_beams_prj3053,random5,RandomForest,60,21,212.53643,172.03411,14.5786,13.1162,0.809
coupling_beams_prj3053,random5,ExtraTrees,60,21,60.77743,59.07353,7.796,7.6859,0.972
coupling_beams_prj3053,random5,GradientBoosting,60,21,91.94084,92.46957,9.5886,9.6161,1.006
