openalex_id,doi,title,year,venue,venue_issn,is_oa,oa_url,cited_by,n_authors,first_author,first_aff,concepts,abstract,has_ml,has_civil_text,has_civil_venue,has_civil,has_metric,is_review,is_bio_med,pass_screen
https://openalex.org/W3128290931,https://doi.org/10.1155/2021/4832864,Influence of Data Splitting on Performance of Machine Learning Models in Prediction of Shear Strength of Soil,2021,Mathematical Problems in Engineering,1024-123X,True,https://downloads.hindawi.com/journals/mpe/2021/4832864.pdf,600,8,Quang Hung Nguyen,Thuyloi University,Mean squared error;Boosting (machine learning);Extreme learning machine;Artificial neural network;Monte Carlo method,"The main objective of this study is to evaluate and compare the performance of different machine learning (ML) algorithms, namely, Artificial Neural Network (ANN), Extreme Learning Machine (ELM), and Boosting Trees (Boosted) algorithms, considering the influence of various training to testing ratios in predicting the soil shear strength, one of the most critical geotechnical engineering properties in civil engineering design and construction. For this aim, a database of 538 soil samples collected from the Long Phu 1 power plant project, Vietnam, was utilized to generate the datasets for the modeling process. Different ratios (i.e., 10/90, 20/80, 30/70, 40/60, 50/50, 60/40, 70/30, 80/20, and 90/10) were used to divide the datasets into the training and testing datasets for the performance assessment of models. Popular statistical indicators, such as Root Mean Squared Error (RMSE), Mean Absolute Error (MAE), and Correlation Coefficient (R), were employed to evaluate the predictive capability of the models under different training and testing ratios. Besides, Monte Carlo simulation was simultaneously carried out to evaluate the performance of the proposed models, taking into account the random sampling effect. The results showed that although all three ML models performed well, the ANN was the most accurate and statistically stable model after 1000 Monte Carlo simulations (Mean R = 0.9348) compared with other models such as Boosted (Mean R = 0.9192) and ELM (Mean R = 0.8703). Investigation on the performance of the models showed that the predictive capability of the ML models was greatly affected by the training/testing ratios, where the 70/30 one presented the best performance of the models. Concisely, the results presented herein showed an effective manner in selecting the appropriate ratios of datasets and the best ML model to predict the soil shear strength accurately, which would be helpful in the design and engineering phases of construction projects.",True,True,False,True,True,False,False,True
https://openalex.org/W3093895805,https://doi.org/10.1016/j.conbuildmat.2020.120950,Efficient machine learning models for prediction of concrete strengths,2020,Construction and Building Materials,0950-0618,True,https://figshare.com/articles/journal_contribution/Efficient_machine_learning_models_for_prediction_of_concrete_strengths/13185386,480,4,Hoang X. Nguyen,Northumbria University,Hyperparameter;Support vector machine;Machine learning;Computer science;Gradient boosting,,True,False,True,True,True,False,False,True
https://openalex.org/W2070638918,https://doi.org/10.1016/j.gsf.2014.10.003,Multivariate adaptive regression splines and neural network models for prediction of pile drivability,2014,Geoscience Frontiers,1674-9871,True,https://ars.els-cdn.com/content/image/1-s2.0-S1674987114001364-fx1_lrg.jpg,470,2,Wengang Zhang,Nanyang Technological University,Multivariate adaptive regression splines;Artificial neural network;Pile;Schmidt hammer;Nonlinear system,"Piles are long, slender structural elements used to transfer the loads from the superstructure through weak strata onto stiffer soils or rocks. For driven piles, the impact of the piling hammer induces compression and tension stresses in the piles. Hence, an important design consideration is to check that the strength of the pile is sufficient to resist the stresses caused by the impact of the pile hammer. Due to its complexity, pile drivability lacks a precise analytical solution with regard to the phenomena involved. In situations where measured data or numerical hypothetical results are available, neural networks stand out in mapping the nonlinear interactions and relationships between the system's predictors and dependent responses. In addition, unlike most computational tools, no mathematical relationship assumption between the dependent and independent variables has to be made. Nevertheless, neural networks have been criticized for their long trial-and-error training process since the optimal configuration is not known a priori. This paper investigates the use of a fairly simple nonparametric regression algorithm known as multivariate adaptive regression splines (MARS), as an alternative to neural networks, to approximate the relationship between the inputs and dependent response, and to mathematically interpret the relationship between the various parameters. In this paper, the Back propagation neural network (BPNN) and MARS models are developed for assessing pile drivability in relation to the prediction of the Maximum compressive stresses (MCS), Maximum tensile stresses (MTS), and Blow per foot (BPF). A database of more than four thousand piles is utilized for model development and comparative performance between BPNN and MARS predictions.",True,True,True,True,True,False,False,True
https://openalex.org/W3198148990,https://doi.org/10.1061/(asce)st.1943-541x.0003115,Interpretable XGBoost-SHAP Machine-Learning Model for Shear Strength Prediction of Squat RC Walls,2021,Journal of Structural Engineering,0733-9445,False,,407,4,De‐Cheng Feng,Ministry of Education,Squat;Artificial intelligence;Machine learning;Shear (geology);Computer science,"RC shear walls are commonly used as lateral load-resisting elements in seismic regions, and the estimation of their shear strengths can become simultaneously design-critical and complex when they have so-called squat geometries, i.e., height-to-length ratios less than two. This paper presents a study on the training and interpretation of an advanced machine-learning model that strategically combines two algorithms for the said purpose. To train the model, a comprehensive shear strength database of 434 samples of squat RC walls is utilized. First, the eXtreme Gradient Boosting (XGBoost) algorithm is used to establish a predictive model for estimating the shear strength, wherein 70% and 30% of the data are respectively used for training and validation. This effort resulted in an approximately 97% validation accuracy, which well exceeds current mechanics-based/semiempirical models. Second, the SHapley Additive exPlanations (SHAP) algorithm is used to estimate the relative importance of the factors affecting XGBoost’s shear strength estimates. This step thus enabled physical and quantitative interpretations of the input-output dependencies, which are nominally hidden in conventional machine-learning approaches. Through this setup, several squat wall attributes are identified as being critical in shear strength estimates.",True,True,True,True,True,False,False,True
https://openalex.org/W2788697198,https://doi.org/10.1016/j.engstruct.2018.01.008,Classification of failure mode and prediction of shear strength for reinforced concrete beam-column joints using machine learning techniques,2018,Engineering Structures,0141-0296,False,,341,2,Sujith Mangalathu,"University of California, Los Angeles",Structural engineering;Failure mode and effects analysis;Joint (building);Beam (structure);Shear strength (soil),,True,True,True,True,True,False,False,True
https://openalex.org/W3131046868,https://doi.org/10.1016/j.engstruct.2020.111743,Data-driven shear strength prediction of steel fiber reinforced concrete beams using machine learning approach,2021,Engineering Structures,0141-0296,False,,317,5,Jesika Rahman,Lakehead University,Artificial neural network;Shear (geology);Compressive strength;AdaBoost;Structural engineering,,True,True,True,True,True,False,False,True
https://openalex.org/W2930890426,https://doi.org/10.1016/j.compstruc.2019.03.004,On the application of machine learning techniques to derive seismic fragility curves,2019,Computers & Structures,0045-7949,False,,305,3,Jalal Kiani,University of Memphis,Fragility;Machine learning;Artificial intelligence;Linear discriminant analysis;Naive Bayes classifier,,True,True,True,True,True,False,False,True
https://openalex.org/W2935714482,https://doi.org/10.3390/app9081621,Random Forests and Cubist Algorithms for Predicting Shear Strengths of Rockfill Materials,2019,Applied Sciences,2076-3417,True,https://www.mdpi.com/2076-3417/9/8/1621/pdf?version=1555591500,234,6,Jian Zhou,Central South University,Mean squared error;Gradation;Coefficient of determination;Mathematics;Random forest,"The shear strength of rockfill materials (RFM) is an important engineering parameter in the design and audit of geotechnical structures. In this paper, the predictive reliability and feasibility of random forests and Cubist models were analyzed by estimating the shear strength from the relative density, particle size, distribution (gradation), material hardness, gradation and fineness modulus, and confining (normal) stress. For this purpose, case studies of 165 rockfill samples have been applied to generate training and testing datasets to construct and validate the models. Thirteen key material properties for rockfill characterization were selected to develop the proposed models. Validation and comparison of the models have been performed using the root mean square error (RMSE), coefficient of determination (R2), and mean estimation error (MAE) between the measured and estimated values. A sensitivity analysis was also conducted to ascertain the importance of various inputs in the prediction of the output. The results demonstrated that the Cubist model has the highest prediction performance with (RMSE = 0.0959, R2 = 0.9697 and MAE = 0.0671), followed by the random forests model with (RMSE = 0.1133, R2 = 0.9548 and MAE= 0.0665), the artificial neural network (ANN) model with (RMSE = 0.1320, R2 = 0.9386 and MAE = 0.0841), and the conventional multiple linear regression technique with (RMSE = 0.1361, R2 = 0.9345 and MAE = 0.0888). The results indicated that the Cubist and random forests models are able to generate better predictive results of the shear strength of RFM than ANN and conventional regression models. The Cubist model was considered to be more promising for interpreting the complex relationships between the influential properties of RFM and the shear strengths of RFM to some extent, which can be extremely helpful in estimating the shear strength of rockfill materials.",True,True,True,True,True,False,False,True
https://openalex.org/W3087991416,https://doi.org/10.1155/2020/8850535,Applications of Gene Expression Programming for Estimating Compressive Strength of High‐Strength Concrete,2020,Advances in Civil Engineering,1687-8086,True,https://downloads.hindawi.com/journals/ace/2020/8850535.pdf,212,9,Fahid Aslam,Prince Sattam Bin Abdulaziz University,Compressive strength;Gene expression programming;Computer science;Structural engineering;Materials science,"The experimental design of high‐strength concrete (HSC) requires deep analysis to get the target strength. In this study, machine learning approaches and artificial intelligence python‐based approaches have been utilized to predict the mechanical behaviour of HSC. The data to be used in the modelling consist of several input parameters such as cement, water, fine aggregate, and coarse aggregate in combination with a superplasticizer. Empirical relation with mathematical expression has been proposed using engineering programming. The efficiency of the models is assessed by statistical analysis with the error by using MAE, RRMSE, RSE, and comparisons were made between regression models. Moreover, variable intensity and correlation have shown that deep learning can be used to know the exact amount of materials in civil engineering rather than doing experimental work. The expression tree, as well as normalization of the graph, depicts significant accuracy between target and output values. The results reveal that machine learning proposed adamant accuracy and has elucidated performance in the prediction aspect.",True,True,False,True,True,False,False,True
https://openalex.org/W3185008998,https://doi.org/10.3390/ma14154222,Comparative Study of Supervised Machine Learning Algorithms for Predicting the Compressive Strength of Concrete at High Temperature,2021,Materials,1996-1944,True,https://www.mdpi.com/1996-1944/14/15/4222/pdf?version=1627539723,205,6,Ayaz Ahmad,COMSATS University Islamabad,Compressive strength;Mean squared error;Silica fume;Artificial neural network;Python (programming language),"High temperature severely affects the nature of the ingredients used to produce concrete, which in turn reduces the strength properties of the concrete. It is a difficult and time-consuming task to achieve the desired compressive strength of concrete. However, the application of supervised machine learning (ML) approaches makes it possible to initially predict the targeted result with high accuracy. This study presents the use of a decision tree (DT), an artificial neural network (ANN), bagging, and gradient boosting (GB) to forecast the compressive strength of concrete at high temperatures on the basis of 207 data points. Python coding in Anaconda navigator software was used to run the selected models. The software requires information regarding both the input variables and the output parameter. A total of nine input parameters (water, cement, coarse aggregate, fine aggregate, fly ash, superplasticizers, silica fume, nano silica, and temperature) were incorporated as the input, while one variable (compressive strength) was selected as the output. The performance of the employed ML algorithms was evaluated with regards to statistical indicators, including the coefficient correlation (R<sup>2</sup>), mean absolute error (MAE), mean square error (MSE), and root mean square error (RMSE). Individual models using DT and ANN gave R<sup>2</sup> equal to 0.83 and 0.82, respectively, while the use of the ensemble algorithm and gradient boosting gave R<sup>2</sup> of 0.90 and 0.88, respectively. This indicates a strong correlation between the actual and predicted outcomes. The k-fold cross-validation, coefficient correlation (R<sup>2</sup>), and lesser errors (MAE, MSE, and RMSE) showed better performance than the ensemble algorithms. Sensitivity analyses were also conducted in order to check the contribution of each input variable. It has been shown that the use of the ensemble machine learning algorithm would enhance the performance level of the model.",True,True,True,True,True,False,False,True
