module,task,metric_kind,proxy_corruption_fraction,replicate,random_score,grouped_score_under_proxy,true_grouped_score,gap_under_proxy,true_gap,gap_retention,proxy_n_groups
UCI concrete,UCI concrete strength,regression,0.0,1,0.9064902438472987,0.8692336766111359,0.8692336766111359,0.037256567236162774,0.037256567236162774,1.0,428
UCI concrete,UCI concrete strength,regression,0.1,1,0.9064902438472987,0.8765601346449754,0.8692336766111359,0.029930109202323307,0.037256567236162774,0.8033512323505719,428
UCI concrete,UCI concrete strength,regression,0.1,2,0.9064902438472987,0.8760276535911681,0.8692336766111359,0.03046259025613063,0.037256567236162774,0.8176435059900626,428
UCI concrete,UCI concrete strength,regression,0.1,3,0.9064902438472987,0.8776377558910298,0.8692336766111359,0.028852487956268935,0.037256567236162774,0.774426902333168,428
UCI concrete,UCI concrete strength,regression,0.1,4,0.9064902438472987,0.8699423105259051,0.8692336766111359,0.03654793332139361,0.037256567236162774,0.9809796240679594,428
UCI concrete,UCI concrete strength,regression,0.1,5,0.9064902438472987,0.8752814118349286,0.8692336766111359,0.031208832012370125,0.037256567236162774,0.837673310440623,428
UCI concrete,UCI concrete strength,regression,0.25,1,0.9064902438472987,0.8870367992498331,0.8692336766111359,0.019453444597465563,0.037256567236162774,0.5221480678601876,428
UCI concrete,UCI concrete strength,regression,0.25,2,0.9064902438472987,0.8931735406573457,0.8692336766111359,0.013316703189953039,0.037256567236162774,0.3574323717357216,428
UCI concrete,UCI concrete strength,regression,0.25,3,0.9064902438472987,0.8745540965932642,0.8692336766111359,0.031936147254034486,0.037256567236162774,0.8571951101022515,428
UCI concrete,UCI concrete strength,regression,0.25,4,0.9064902438472987,0.8864386323814437,0.8692336766111359,0.02005161146585499,0.037256567236162774,0.5382034082407909,428
UCI concrete,UCI concrete strength,regression,0.25,5,0.9064902438472987,0.8829469385359677,0.8692336766111359,0.023543305311330975,0.037256567236162774,0.6319236327408839,428
UCI concrete,UCI concrete strength,regression,0.5,1,0.9064902438472987,0.8955390102602936,0.8692336766111359,0.010951233587005116,0.037256567236162774,0.2939410256878254,428
UCI concrete,UCI concrete strength,regression,0.5,2,0.9064902438472987,0.9026236753206056,0.8692336766111359,0.0038665685266930927,0.037256567236162774,0.10378220038855433,428
UCI concrete,UCI concrete strength,regression,0.5,3,0.9064902438472987,0.8948077112293387,0.8692336766111359,0.01168253261796004,0.037256567236162774,0.3135697538612867,428
UCI concrete,UCI concrete strength,regression,0.5,4,0.9064902438472987,0.8997273619083741,0.8692336766111359,0.006762881938924603,0.037256567236162774,0.18152187495041863,428
UCI concrete,UCI concrete strength,regression,0.5,5,0.9064902438472987,0.8969797478162627,0.8692336766111359,0.009510496031036042,0.037256567236162774,0.255270325114783,428
UCI concrete,UCI concrete strength,regression,0.75,1,0.9064902438472987,0.9056597050082926,0.8692336766111359,0.0008305388390060786,0.037256567236162774,0.02229241448202783,428
UCI concrete,UCI concrete strength,regression,0.75,2,0.9064902438472987,0.9005612499412536,0.8692336766111359,0.005928993906045066,0.037256567236162774,0.1591395650721717,428
UCI concrete,UCI concrete strength,regression,0.75,3,0.9064902438472987,0.9003467549379,0.8692336766111359,0.006143488909398753,0.037256567236162774,0.16489680518487562,428
UCI concrete,UCI concrete strength,regression,0.75,4,0.9064902438472987,0.9046490968345895,0.8692336766111359,0.00184114701270921,0.037256567236162774,0.04941805295797934,428
UCI concrete,UCI concrete strength,regression,0.75,5,0.9064902438472987,0.9023077713236536,0.8692336766111359,0.00418247252364512,0.037256567236162774,0.11226134971408311,428
UCI concrete,UCI concrete strength,regression,1.0,1,0.9064902438472987,0.9018184471535363,0.8692336766111359,0.004671796693762387,0.037256567236162774,0.1253952535172845,428
UCI concrete,UCI concrete strength,regression,1.0,2,0.9064902438472987,0.9067894877008799,0.8692336766111359,-0.0002992438535811548,0.037256567236162774,-0.008031975991891606,428
UCI concrete,UCI concrete strength,regression,1.0,3,0.9064902438472987,0.9096656626881274,0.8692336766111359,-0.0031754188408287254,0.037256567236162774,-0.08523111699208111,428
UCI concrete,UCI concrete strength,regression,1.0,4,0.9064902438472987,0.8903091924768448,0.8692336766111359,0.01618105137045389,0.037256567236162774,0.43431407053379545,428
UCI concrete,UCI concrete strength,regression,1.0,5,0.9064902438472987,0.9042833870984192,0.8692336766111359,0.0022068567488795487,0.037256567236162774,0.05923403342263594,428
SFRC shear,SFRC shear capacity,regression,0.0,1,0.5697769647496402,-0.18707522372772378,-0.18707522372772334,0.756852188477364,0.7568521884773636,1.0000000000000007,118
SFRC shear,SFRC shear capacity,regression,0.1,1,0.5697769647496402,-0.0769459256253513,-0.18707522372772334,0.6467228903749915,0.7568521884773636,0.8544903486056764,118
SFRC shear,SFRC shear capacity,regression,0.1,2,0.5697769647496402,0.034752427637116834,-0.18707522372772334,0.5350245371125234,0.7568521884773636,0.7069075643275692,118
SFRC shear,SFRC shear capacity,regression,0.1,3,0.5697769647496402,0.09306204824988573,-0.18707522372772334,0.4767149164997545,0.7568521884773636,0.629865281170436,118
SFRC shear,SFRC shear capacity,regression,0.1,4,0.5697769647496402,0.1076515061238883,-0.18707522372772334,0.46212545862575194,0.7568521884773636,0.6105887855797268,118
SFRC shear,SFRC shear capacity,regression,0.1,5,0.5697769647496402,0.05749796684858843,-0.18707522372772334,0.5122789979010518,0.7568521884773636,0.6768547487874158,118
SFRC shear,SFRC shear capacity,regression,0.25,1,0.5697769647496402,0.3975756679899253,-0.18707522372772334,0.17220129675971496,0.7568521884773636,0.22752302151117487,118
SFRC shear,SFRC shear capacity,regression,0.25,2,0.5697769647496402,0.3685193394029763,-0.18707522372772334,0.20125762534666392,0.7568521884773636,0.26591404294087373,118
SFRC shear,SFRC shear capacity,regression,0.25,3,0.5697769647496402,0.2636457925525896,-0.18707522372772334,0.30613117219705066,0.7568521884773636,0.40447947017623853,118
SFRC shear,SFRC shear capacity,regression,0.25,4,0.5697769647496402,0.32759413542850424,-0.18707522372772334,0.242182829321136,0.7568521884773636,0.3199869578343425,118
SFRC shear,SFRC shear capacity,regression,0.25,5,0.5697769647496402,0.4130076847044787,-0.18707522372772334,0.15676928004516155,0.7568521884773636,0.20713328498203887,118
SFRC shear,SFRC shear capacity,regression,0.5,1,0.5697769647496402,0.49849644230297097,-0.18707522372772334,0.07128052244666927,0.7568521884773636,0.09418024223471103,118
