module,task,metric_kind,learner,variant,random_score,grouped_score,gap_vs_random,nmae_or_blank,worst_group_nmae_or_error,cvar20_group_nmae_or_error,overprediction_rate,delta_score_vs_vanilla,delta_cvar20_vs_vanilla
UCI concrete,UCI concrete strength,regression,Random Forest,vanilla_grouped,0.906490,0.869234,0.037257,0.121856,1.087056,0.276341,0.485437,0.000000,0.000000
UCI concrete,UCI concrete strength,regression,Random Forest,source_balanced_erm,0.906490,0.865338,0.041153,0.122133,0.791693,0.277474,0.487379,-0.003896,0.001133
UCI concrete,UCI concrete strength,regression,Random Forest,group_loss_reweighted_erm,0.906490,0.866770,0.039720,0.122038,0.780410,0.275886,0.486408,-0.002463,-0.000454
SFRC shear,SFRC shear capacity,regression,Random Forest,vanilla_grouped,0.569777,-0.187075,0.756852,0.727142,5.517695,1.781995,0.670082,0.000000,0.000000
SFRC shear,SFRC shear capacity,regression,Random Forest,source_balanced_erm,0.569777,-0.192172,0.761949,0.736681,5.329289,1.784806,0.670082,-0.005097,0.002811
SFRC shear,SFRC shear capacity,regression,Random Forest,group_loss_reweighted_erm,0.569777,-0.133780,0.703556,0.728079,5.366459,1.788468,0.680328,0.053296,0.006474
Mangalathu shear-wall,Shear-wall failure classification,classification,Random Forest,vanilla_grouped,0.829517,0.503817,0.325700,,1.000000,0.993333,,0.000000,0.000000
Mangalathu shear-wall,Shear-wall failure classification,classification,Random Forest,source_balanced_erm,0.829517,0.547074,0.282443,,1.000000,0.960476,,0.043257,-0.032857
Mangalathu shear-wall,Shear-wall failure classification,classification,Random Forest,group_loss_reweighted_erm,0.829517,0.549618,0.279898,,1.000000,1.000000,,0.045802,0.006667
Stub-CFST,Stub-CFST section-family holdout,regression,Random Forest,vanilla_grouped,0.808680,-0.922310,1.730990,0.156874,0.174055,0.174055,0.415653,0.000000,0.000000
Stub-CFST,Stub-CFST section-family holdout,regression,Random Forest,source_balanced_erm,0.808680,-0.888037,1.696717,0.156626,0.173989,0.173989,0.444529,0.034273,-0.000066
Stub-CFST,Stub-CFST section-family holdout,regression,Random Forest,group_loss_reweighted_erm,0.808680,-0.973814,1.782494,0.160400,0.174491,0.174491,0.461246,-0.051504,0.000436
Corroded RC beams,Corroded RC beam moment capacity,regression,Random Forest,vanilla_grouped,0.974214,0.800394,0.173820,0.133693,0.339317,0.260269,0.533582,0.000000,0.000000
Corroded RC beams,Corroded RC beam moment capacity,regression,Random Forest,source_balanced_erm,0.974214,0.776543,0.197671,0.141667,0.366543,0.279303,0.509950,-0.023851,0.019034
Corroded RC beams,Corroded RC beam moment capacity,regression,Random Forest,group_loss_reweighted_erm,0.974214,0.774948,0.199266,0.142148,0.374744,0.281096,0.518657,-0.025446,0.020826
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,Random Forest,vanilla_grouped,0.552870,0.055118,0.497751,0.635074,2.326798,1.252912,0.570423,0.000000,0.000000
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,Random Forest,source_balanced_erm,0.552870,0.153750,0.399119,0.599642,2.173135,1.173561,0.591549,0.098632,-0.079351
PRJ-2430 RC walls,PRJ-2430 RC wall peak lateral strength|Vmax,regression,Random Forest,group_loss_reweighted_erm,0.552870,0.157972,0.394898,0.597347,2.135428,1.137264,0.584507,0.102853,-0.115648
PRJ-2430 RC walls,PRJ-2430 RC wall drift capacity|driftCap,regression,Random Forest,vanilla_grouped,0.290063,-0.088665,0.378728,0.426374,1.203537,0.944623,0.521127,0.000000,0.000000
PRJ-2430 RC walls,PRJ-2430 RC wall drift capacity|driftCap,regression,Random Forest,source_balanced_erm,0.290063,-0.065266,0.355330,0.439172,1.139167,0.890799,0.464789,0.023398,-0.053825
PRJ-2430 RC walls,PRJ-2430 RC wall drift capacity|driftCap,regression,Random Forest,group_loss_reweighted_erm,0.290063,-0.038010,0.328073,0.434667,1.178883,0.864499,0.457746,0.050655,-0.080124
Mendeley cyclic joint,Cyclic beam-column joint shear,regression,Random Forest,vanilla_grouped,0.631588,-0.751881,1.383469,0.408674,1.076019,0.885672,0.734694,0.000000,0.000000
Mendeley cyclic joint,Cyclic beam-column joint shear,regression,Random Forest,source_balanced_erm,0.631588,-0.803864,1.435452,0.415086,1.153561,0.859306,0.744898,-0.051983,-0.026366
Mendeley cyclic joint,Cyclic beam-column joint shear,regression,Random Forest,group_loss_reweighted_erm,0.631588,-0.836648,1.468235,0.418520,1.154988,0.868133,0.744898,-0.084767,-0.017539
